order_number,order_date,expected_receiving_date,shipping_date,status
10100,2003-01-06,2003-01-13,2003-01-10,Shipped
10101,2003-01-09,2003-01-18,2003-01-11,Shipped
10102,2003-01-10,2003-01-18,2003-01-14,Shipped
10103,2003-01-29,2003-02-07,2003-02-02,Shipped
10104,2003-01-31,2003-02-09,2003-02-01,Shipped
10105,2003-02-11,2003-02-21,2003-02-12,Shipped
10106,2003-02-17,2003-02-24,2003-02-21,Shipped
10107,2003-02-24,2003-03-03,2003-02-26,Shipped
10108,2003-03-03,2003-03-12,2003-03-08,Shipped
10109,2003-03-10,2003-03-19,2003-03-11,Shipped
10110,2003-03-18,2003-03-24,2003-03-20,Shipped
10111,2003-03-25,2003-03-31,2003-03-30,Shipped
10112,2003-03-24,2003-04-03,2003-03-29,Shipped
10113,2003-03-26,2003-04-02,2003-03-27,Shipped
10114,2003-04-01,2003-04-07,2003-04-02,Shipped
10115,2003-04-04,2003-04-12,2003-04-07,Shipped
10116,2003-04-11,2003-04-19,2003-04-13,Shipped
10117,2003-04-16,2003-04-24,2003-04-17,Shipped
10118,2003-04-21,2003-04-29,2003-04-26,Shipped
10119,2003-04-28,2003-05-05,2003-05-02,Shipped
10120,2003-04-29,2003-05-08,2003-05-01,Shipped
10121,2003-05-07,2003-05-13,2003-05-13,Shipped
10122,2003-05-08,2003-05-16,2003-05-13,Shipped
10123,2003-05-20,2003-05-29,2003-05-22,Shipped
10124,2003-05-21,2003-05-29,2003-05-25,Shipped
10125,2003-05-21,2003-05-27,2003-05-24,Shipped
10126,2003-05-28,2003-06-07,2003-06-02,Shipped
10127,2003-06-03,2003-06-09,2003-06-06,Shipped
10128,2003-06-06,2003-06-12,2003-06-11,Shipped
10129,2003-06-12,2003-06-18,2003-06-14,Shipped
10130,2003-06-16,2003-06-24,2003-06-21,Shipped
10131,2003-06-16,2003-06-25,2003-06-21,Shipped
10132,2003-06-25,2003-07-01,2003-06-28,Shipped
10133,2003-06-27,2003-07-04,2003-07-03,Shipped
10134,2003-07-01,2003-07-10,2003-07-05,Shipped
10135,2003-07-02,2003-07-12,2003-07-03,Shipped
10136,2003-07-04,2003-07-14,2003-07-06,Shipped
10137,2003-07-10,2003-07-20,2003-07-14,Shipped
10138,2003-07-07,2003-07-16,2003-07-13,Shipped
10139,2003-07-16,2003-07-23,2003-07-21,Shipped
10140,2003-07-24,2003-08-02,2003-07-30,Shipped
10141,2003-08-01,2003-08-09,2003-08-04,Shipped
10142,2003-08-08,2003-08-16,2003-08-13,Shipped
10143,2003-08-10,2003-08-18,2003-08-12,Shipped
10144,2003-08-13,2003-08-21,2003-08-14,Shipped
