date_key,full_date,year,quarter,month,month_name,day_of_month,day_of_week
20030106,2003-01-06,2003,1,1,January,6,Monday
20030109,2003-01-09,2003,1,1,January,9,Thursday
20030110,2003-01-10,2003,1,1,January,10,Friday
20030129,2003-01-29,2003,1,1,January,29,Wednesday
20030131,2003-01-31,2003,1,1,January,31,Friday
20030211,2003-02-11,2003,1,2,February,11,Tuesday
20030217,2003-02-17,2003,1,2,February,17,Monday
20030224,2003-02-24,2003,1,2,February,24,Monday
20030303,2003-03-03,2003,1,3,March,3,Monday
20030310,2003-03-10,2003,1,3,March,10,Monday
20030318,2003-03-18,2003,1,3,March,18,Tuesday
20030324,2003-03-24,2003,1,3,March,24,Monday
20030325,2003-03-25,2003,1,3,March,25,Tuesday
20030326,2003-03-26,2003,1,3,March,26,Wednesday
20030401,2003-04-01,2003,2,4,April,1,Tuesday
20030404,2003-04-04,2003,2,4,April,4,Friday
20030411,2003-04-11,2003,2,4,April,11,Friday
20030416,2003-04-16,2003,2,4,April,16,Wednesday
20030421,2003-04-21,2003,2,4,April,21,Monday
20030428,2003-04-28,2003,2,4,April,28,Monday
20030429,2003-04-29,2003,2,4,April,29,Tuesday
20030507,2003-05-07,2003,2,5,May,7,Wednesday
20030508,2003-05-08,2003,2,5,May,8,Thursday
20030520,2003-05-20,2003,2,5,May,20,Tuesday
20030521,2003-05-21,2003,2,5,May,21,Wednesday
20030528,2003-05-28,2003,2,5,May,28,Wednesday
20030603,2003-06-03,2003,2,6,June,3,Tuesday
20030606,2003-06-06,2003,2,6,June,6,Friday
20030612,2003-06-12,2003,2,6,June,12,Thursday
20030616,2003-06-16,2003,2,6,June,16,Monday
20030625,2003-06-25,2003,2,6,June,25,Wednesday
20030627,2003-06-27,2003,2,6,June,27,Friday
20030701,2003-07-01,2003,3,7,July,1,Tuesday
20030702,2003-07-02,2003,3,7,July,2,Wednesday
20030704,2003-07-04,2003,3,7,July,4,Friday
20030707,2003-07-07,2003,3,7,July,7,Monday
20030710,2003-07-10,2003,3,7,July,10,Thursday
20030716,2003-07-16,2003,3,7,July,16,Wednesday
20030724,2003-07-24,2003,3,7,July,24,Thursday
20030801,2003-08-01,2003,3,8,August,1,Friday
20030808,2003-08-08,2003,3,8,August,8,Friday
20030810,2003-08-10,2003,3,8,August,10,Sunday
20030813,2003-08-13,2003,3,8,August,13,Wednesday
20030825,2003-08-25,2003,3,8,August,25,Monday
20030903,2003-09-03,2003,3,9,September,3,Wednesday
20030905,2003-09-05,2003,3,9,September,5,Friday
20030911,2003-09-11,2003,3,9,September,11,Thursday
20030912,2003-09-12,2003,3,9,September,12,Friday
20030919,2003-09-19,2003,3,9,September,19,Friday
20030921,2003-09-21,2003,3,9,September,21,Sunday
20030925,2003-09-25,2003,3,9,September,25,Thursday
20030928,2003-09-28,2003,3,9,September,28,Sunday
20031002,2003-10-02,2003,4,10,October,2,Thursday
20031004,2003-10-04,2003,4,10,October,4,Saturday
20031005,2003-10-05,2003,4,10,October,5,Sunday
20031006,2003-10-06,2003,4,10,October,6,Monday
20031008,2003-10-08,2003,4,10,October,8,Wednesday
20031009,2003-10-09,2003,4,10,October,9,Thursday
20031010,2003-10-10,2003,4,10,October,10,Friday
20031011,2003-10-11,2003,4,10,October,11,Saturday
20031017,2003-10-17,2003,4,10,October,17,Friday
20031018,2003-10-18,2003,4,10,October,18,Saturday
20031020,2003-10-20,2003,4,10,October,20,Monday
