product_key,product_number,product_name,category_key,product_scale,product_manufacturer,length,width,height
1,S10_1678,1969 Harley Davidson Ultimate Chopper,2,1:10,Min Lin Diecast,7933,48.81,95.7
2,S10_1949,1952 Alpine Renault 1300,1,1:10,Classic Metal Creations,7305,98.58,214.3
3,S10_2016,1996 Moto Guzzi 1100i,2,1:10,Highway 66 Mini Classics,6625,68.99,118.94
4,S10_4698,2003 Harley-Davidson Eagle Drag Bike,2,1:10,Red Start Diecast,3252,85.68,136
5,S10_4757,1972 Alfa Romeo GTA,1,1:10,Motor City Art Classics,3252,85.68,136
6,S10_4962,1962 LanciaA Delta 16V,1,1:10,Second Gear Diecast,6791,103.42,147.74
7,S12_1099,1968 Ford Mustang,1,1:12,Autoart Studio Design,68,95.34,194.57
8,S12_1108,2001 Ferrari Enzo,1,1:12,Second Gear Diecast,3619,95.59,207.8
9,S12_1666,1958 Setra Bus,6,1:12,Welly Diecast Productions,1579,77.9,136.67
10,S12_2823,2002 Suzuki XREO,2,1:12,Unimax Art Galleries,9997,66.27,150.62
11,S12_3148,1969 Corvair Monza,1,1:18,Welly Diecast Productions,6906,89.14,151.08
12,S12_3380,1968 Dodge Charger,1,1:12,Welly Diecast Productions,9123,75.16,117.44
13,S12_3891,1969 Ford Falcon,1,1:12,Second Gear Diecast,1049,83.05,173.02
14,S12_3990,1970 Plymouth Hemi Cuda,1,1:12,Studio M Art Models,5663,31.92,79.8
15,S12_4473,1957 Chevy Pickup,6,1:12,Exoto Designs,6125,55.7,118.5
16,S12_4675,1969 Dodge Charger,1,1:12,Welly Diecast Productions,7323,58.73,115.16
17,S18_1097,1940 Ford Pickup Truck,6,1:18,Studio M Art Models,2613,58.33,116.67
18,S18_1129,1993 Mazda RX-7,1,1:18,Highway 66 Mini Classics,3975,83.51,141.54
19,S18_1342,1937 Lincoln Berline,7,1:18,Motor City Art Classics,8693,60.62,102.74
20,S18_1367,1936 Mercedes-Benz 500K Special Roadster,7,1:18,Studio M Art Models,8635,24.26,53.91
21,S18_1589,1965 Aston Martin DB5,1,1:18,Classic Metal Creations,9042,65.96,124.44
22,S18_1662,1980s Black Hawk Helicopter,3,1:18,Red Start Diecast,5330,77.27,157.69
23,S18_1749,1917 Grand Touring Sedan,7,1:18,Welly Diecast Productions,2724,86.7,170
24,S18_1889,1948 Porsche 356-A Roadster,1,1:18,Gearbox Collectibles,8826,53.9,77
25,S18_1984,1995 Honda Civic,1,1:18,Min Lin Diecast,9772,93.89,142.25
26,S18_2238,1998 Chrysler Plymouth Prowler,1,1:18,Gearbox Collectibles,4724,101.51,163.73
27,S18_2248,1911 Ford Town Car,7,1:18,Motor City Art Classics,540,33.3,60.54
28,S18_2319,1964 Mercedes Tour Bus,6,1:18,Unimax Art Galleries,8258,74.86,122.73
29,S18_2325,1932 Model A Ford J-Coupe,7,1:18,Autoart Studio Design,9354,58.48,127.13
30,S18_2432,1926 Ford Fire Engine,6,1:18,Carousel DieCast Legends,2018,24.92,60.77
31,S18_2581,P-51-D Mustang,3,1:72,Gearbox Collectibles,992,49,84.48
32,S18_2625,1936 Harley Davidson El Knucklehead,2,1:18,Welly Diecast Productions,4357,24.23,60.57
33,S18_2795,1928 Mercedes-Benz SSK,7,1:18,Gearbox Collectibles,548,72.56,168.75
34,S18_2870,1999 Indy 500 Monte Carlo SS,1,1:18,Red Start Diecast,8164,56.76,132
35,S18_2949,1913 Ford Model T Speedster,7,1:18,Carousel DieCast Legends,4189,60.78,101.31
36,S18_2957,1934 Ford V8 Coupe,7,1:18,Min Lin Diecast,5649,34.35,62.46
37,S18_3029,1999 Yamaha Speed Boat,4,1:18,Min Lin Diecast,4259,51.61,86.02
38,S18_3136,18th Century Vintage Horse Carriage,7,1:18,Red Start Diecast,4189,60.78,101.31
39,S18_3140,1903 Ford Model A,7,1:18,Unimax Art Galleries,3913,68.3,136.59
40,S18_3232,1992 Ferrari 360 Spider red,1,1:18,Unimax Art Galleries,8347,77.9,169.34
41,S18_3259,Collectable Wooden Train,5,1:18,Carousel DieCast Legends,6450,67.56,100.84
42,S18_3278,1969 Dodge Super Bee,1,1:18,Min Lin Diecast,1917,49.05,80.41
43,S18_3320,1917 Maxwell Touring Car,7,1:18,Exoto Designs,7913,57.54,99.21
44,S18_3482,1976 Ford Gran Torino,1,1:18,Gearbox Collectibles,9127,73.49,146.99
45,S18_3685,1948 Porsche Type 356 Roadster,1,1:18,Gearbox Collectibles,8990,62.16,141.28
46,S18_3782,1957 Vespa GS150,2,1:18,Studio M Art Models,7689,32.95,62.17
47,S18_3856,1941 Chevrolet Special Deluxe Cabriolet,7,1:18,Exoto Designs,2378,64.58,105.87
48,S18_4027,1970 Triumph Spitfire,1,1:18,Min Lin Diecast,5545,91.92,143.62
49,S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,7,1:18,Exoto Designs,6553,43.26,92.03
50,S18_4522,1904 Buick Runabout,7,1:18,Exoto Designs,8290,52.66,87.77
51,S18_4600,1940s Ford truck,6,1:18,Motor City Art Classics,3128,84.76,121.08
52,S18_4668,1939 Cadillac Limousine,7,1:18,Studio M Art Models,6645,23.14,50.31
53,S18_4721,1957 Corvette Convertible,1,1:18,Classic Metal Creations,1249,69.93,148.8
54,S18_4933,1957 Ford Thunderbird,1,1:18,Studio M Art Models,3209,34.21,71.27
55,S24_1046,1970 Chevy Chevelle SS 454,1,1:24,Unimax Art Galleries,1005,49.24,73.49
56,S24_1444,1970 Dodge Coronet,1,1:24,Highway 66 Mini Classics,4074,32.37,57.8
57,S24_1578,1997 BMW R 1100 S,2,1:24,Autoart Studio Design,7003,60.86,112.7
58,S24_1628,1966 Shelby Cobra 427 S/C,1,1:24,Carousel DieCast Legends,8197,29.18,50.31
59,S24_1785,1928 British Royal Navy Airplane,3,1:24,Classic Metal Creations,3627,66.74,109.42
60,S24_1937,1939 Chevrolet Deluxe Coupe,7,1:24,Motor City Art Classics,7332,22.57,33.19
61,S24_2000,1960 BSA Gold Star DBD34,2,1:24,Highway 66 Mini Classics,15,37.32,76.17
62,S24_2011,18th century schooner,4,1:24,Carousel DieCast Legends,1898,82.34,122.89
63,S24_2022,1938 Cadillac V-16 Presidential Limousine,7,1:24,Classic Metal Creations,2847,20.61,44.8
64,S24_2300,1962 Volkswagen Microbus,6,1:24,Autoart Studio Design,2327,61.34,127.79
