sales_key,order_number,order_line_number,order_date_key,product_key,customer_key,employee_key,status_key,quantity,unit_price,sales_amount,shipping_days
1,10100,1,20030106,23,1,1,3,3,136.00,408.00,4
2,10100,2,20030106,27,1,1,3,2,55.09,110.18,4
3,10100,3,20030106,49,1,1,3,4,75.46,301.84,4
4,10100,4,20030106,79,1,1,3,1,35.29,35.29,4
5,10101,1,20030109,29,2,2,3,4,108.06,432.24,2
6,10101,2,20030109,33,2,2,3,1,167.06,167.06,2
7,10101,3,20030109,60,2,2,3,3,32.53,97.59,2
8,10101,4,20030109,63,2,2,3,2,44.35,88.70,2
9,10102,1,20030110,19,3,3,3,2,95.55,191.10,4
10,10102,2,20030110,20,3,3,3,1,43.13,43.13,4
11,10103,1,20030129,2,4,4,3,11,214.30,2357.30,4
12,10103,2,20030129,6,4,4,3,4,119.67,478.68,4
13,10103,3,20030129,9,4,4,3,8,121.64,973.12,4
14,10103,4,20030129,17,4,4,3,10,94.50,945.00,4
15,10103,5,20030129,30,4,4,3,2,58.34,116.68,4
16,10103,6,20030129,35,4,4,3,12,92.19,1106.28,4
17,10103,7,20030129,36,4,4,3,14,61.84,865.76,4
18,10103,8,20030129,38,4,4,3,13,86.92,1129.96,4
19,10103,9,20030129,43,4,4,3,16,86.31,1380.96,4
20,10103,10,20030129,51,4,4,3,5,98.07,490.35,4
21,10103,11,20030129,52,4,4,3,9,40.75,366.75,4
22,10103,12,20030129,64,4,4,3,1,107.34,107.34,4
23,10103,13,20030129,81,4,4,3,15,88.62,1329.30,4
24,10103,14,20030129,84,4,4,3,3,92.46,277.38,4
25,10103,15,20030129,89,4,4,3,7,63.35,443.45,4
26,10103,16,20030129,102,4,4,3,6,94.07,564.42,4
27,10104,1,20030131,11,5,5,3,1,131.44,131.44,1
28,10104,2,20030131,15,5,5,3,9,111.39,1002.51,1
29,10104,3,20030131,26,5,5,3,8,135.90,1087.20,1
30,10104,4,20030131,28,5,5,3,12,122.73,1472.76,1
31,10104,5,20030131,40,5,5,3,13,165.95,2157.35,1
32,10104,6,20030131,48,5,5,3,3,119.20,357.60,1
33,10104,7,20030131,56,5,5,3,6,52.02,312.12,1
34,10104,8,20030131,67,5,5,3,10,30.41,304.10,1
35,10104,9,20030131,80,5,5,3,5,106.45,532.25,1
36,10104,10,20030131,87,5,5,3,11,51.95,571.45,1
37,10104,11,20030131,88,5,5,3,4,56.55,226.20,1
38,10104,12,20030131,93,5,5,3,7,114.59,802.13,1
39,10104,13,20030131,94,5,5,3,2,53.31,106.62,1
