order_number,order_line_number,order_date,expected_receiving_date,shipping_date,order_status,customer_id,employee_id,office_id,product_number,product_name,product_category,unit_price,quantity,sales_amount,shipping_days
10100,1,2003-01-06,2003-01-13,2003-01-10,Shipped,103,1002,1,S18_1749,1917 Grand Touring Sedan,Vintage Cars,136.00,3,408.00,4
10100,2,2003-01-06,2003-01-13,2003-01-10,Shipped,103,1002,1,S18_2248,1911 Ford Town Car,Vintage Cars,55.09,2,110.18,4
10100,3,2003-01-06,2003-01-13,2003-01-10,Shipped,103,1002,1,S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,Vintage Cars,75.46,4,301.84,4
10100,4,2003-01-06,2003-01-13,2003-01-10,Shipped,103,1002,1,S24_3969,1936 Mercedes Benz 500k Roadster,Vintage Cars,35.29,1,35.29,4
10101,1,2003-01-09,2003-01-18,2003-01-11,Shipped,112,1056,2,S18_2325,1932 Model A Ford J-Coupe,Vintage Cars,108.06,4,432.24,2
10101,2,2003-01-09,2003-01-18,2003-01-11,Shipped,112,1056,2,S18_2795,1928 Mercedes-Benz SSK,Vintage Cars,167.06,1,167.06,2
10101,3,2003-01-09,2003-01-18,2003-01-11,Shipped,112,1056,2,S24_1937,1939 Chevrolet Deluxe Coupe,Vintage Cars,32.53,3,97.59,2
10101,4,2003-01-09,2003-01-18,2003-01-11,Shipped,112,1056,2,S24_2022,1938 Cadillac V-16 Presidential Limousine,Vintage Cars,44.35,2,88.70,2
10102,1,2003-01-10,2003-01-18,2003-01-14,Shipped,114,1076,3,S18_1342,1937 Lincoln Berline,Vintage Cars,95.55,2,191.10,4
10102,2,2003-01-10,2003-01-18,2003-01-14,Shipped,114,1076,3,S18_1367,1936 Mercedes-Benz 500K Special Roadster,Vintage Cars,43.13,1,43.13,4
10103,1,2003-01-29,2003-02-07,2003-02-02,Shipped,119,1088,4,S10_1949,1952 Alpine Renault 1300,Classic Cars,214.30,11,2357.30,4
10103,2,2003-01-29,2003-02-07,2003-02-02,Shipped,119,1088,4,S10_4962,1962 LanciaA Delta 16V,Classic Cars,119.67,4,478.68,4
10103,3,2003-01-29,2003-02-07,2003-02-02,Shipped,119,1088,4,S12_1666,1958 Setra Bus,Trucks and Buses,121.64,8,973.12,4
10103,4,2003-01-29,2003-02-07,2003-02-02,Shipped,119,1088,4,S18_1097,1940 Ford Pickup Truck,Trucks and Buses,94.50,10,945.00,4
10103,5,2003-01-29,2003-02-07,2003-02-02,Shipped,119,1088,4,S18_2432,1926 Ford Fire Engine,Trucks and Buses,58.34,2,116.68,4
10103,6,2003-01-29,2003-02-07,2003-02-02,Shipped,119,1088,4,S18_2949,1913 Ford Model T Speedster,Vintage Cars,92.19,12,1106.28,4
10103,7,2003-01-29,2003-02-07,2003-02-02,Shipped,119,1088,4,S18_2957,1934 Ford V8 Coupe,Vintage Cars,61.84,14,865.76,4
10103,8,2003-01-29,2003-02-07,2003-02-02,Shipped,119,1088,4,S18_3136,18th Century Vintage Horse Carriage,Vintage Cars,86.92,13,1129.96,4
10103,9,2003-01-29,2003-02-07,2003-02-02,Shipped,119,1088,4,S18_3320,1917 Maxwell Touring Car,Vintage Cars,86.31,16,1380.96,4
10103,10,2003-01-29,2003-02-07,2003-02-02,Shipped,119,1088,4,S18_4600,1940s Ford truck,Trucks and Buses,98.07,5,490.35,4
10103,11,2003-01-29,2003-02-07,2003-02-02,Shipped,119,1088,4,S18_4668,1939 Cadillac Limousine,Vintage Cars,40.75,9,366.75,4
10103,12,2003-01-29,2003-02-07,2003-02-02,Shipped,119,1088,4,S24_2300,1962 Volkswagen Microbus,Trucks and Buses,107.34,1,107.34,4
10103,13,2003-01-29,2003-02-07,2003-02-02,Shipped,119,1088,4,S24_4258,1936 Chrysler Airflow,Vintage Cars,88.62,15,1329.30,4
10103,14,2003-01-29,2003-02-07,2003-02-02,Shipped,119,1088,4,S32_1268,1980�s GM Manhattan Express,Trucks and Buses,92.46,3,277.38,4
10103,15,2003-01-29,2003-02-07,2003-02-02,Shipped,119,1088,4,S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,Trucks and Buses,63.35,7,443.45,4
10103,16,2003-01-29,2003-02-07,2003-02-02,Shipped,119,1088,4,S700_2824,1982 Camaro Z28,Classic Cars,94.07,6,564.42,4
10104,1,2003-01-31,2003-02-09,2003-02-01,Shipped,121,1102,5,S12_3148,1969 Corvair Monza,Classic Cars,131.44,1,131.44,1
10104,2,2003-01-31,2003-02-09,2003-02-01,Shipped,121,1102,5,S12_4473,1957 Chevy Pickup,Trucks and Buses,111.39,9,1002.51,1
10104,3,2003-01-31,2003-02-09,2003-02-01,Shipped,121,1102,5,S18_2238,1998 Chrysler Plymouth Prowler,Classic Cars,135.90,8,1087.20,1
10104,4,2003-01-31,2003-02-09,2003-02-01,Shipped,121,1102,5,S18_2319,1964 Mercedes Tour Bus,Trucks and Buses,122.73,12,1472.76,1
10104,5,2003-01-31,2003-02-09,2003-02-01,Shipped,121,1102,5,S18_3232,1992 Ferrari 360 Spider red,Classic Cars,165.95,13,2157.35,1
10104,6,2003-01-31,2003-02-09,2003-02-01,Shipped,121,1102,5,S18_4027,1970 Triumph Spitfire,Classic Cars,119.20,3,357.60,1
10104,7,2003-01-31,2003-02-09,2003-02-01,Shipped,121,1102,5,S24_1444,1970 Dodge Coronet,Classic Cars,52.02,6,312.12,1
10104,8,2003-01-31,2003-02-09,2003-02-01,Shipped,121,1102,5,S24_2840,1958 Chevy Corvette Limited Edition,Classic Cars,30.41,10,304.10,1
10104,9,2003-01-31,2003-02-09,2003-02-01,Shipped,121,1102,5,S24_4048,1992 Porsche Cayenne Turbo Silver,Classic Cars,106.45,5,532.25,1
10104,10,2003-01-31,2003-02-09,2003-02-01,Shipped,121,1102,5,S32_2509,1954 Greyhound Scenicruiser,Trucks and Buses,51.95,11,571.45,1
10104,11,2003-01-31,2003-02-09,2003-02-01,Shipped,121,1102,5,S32_3207,1950's Chicago Surface Lines Streetcar,Trains,56.55,4,226.20,1
10104,12,2003-01-31,2003-02-09,2003-02-01,Shipped,121,1102,5,S50_1392,Diamond T620 Semi-Skirted Tanker,Trucks and Buses,114.59,7,802.13,1
10104,13,2003-01-31,2003-02-09,2003-02-01,Shipped,121,1102,5,S50_1514,1962 City of Detroit Streetcar,Trains,53.31,2,106.62,1
